CountryCd	Year	CountryName	FieldEducation	Graduates	YoungAdults
ISL	2002	Iceland	Computing (ISC 48)	117	85324
ISL	2002	Iceland	Agriculture	15	85324
ISL	2002	Iceland	Architecture and building (ISC 58)	20	85324
ISL	2002	Iceland	Engineering and engineering trades (ISC 52)	67	85324
ISL	2002	Iceland	Life sciences (ISC 42)	75	85324
ISL	2002	Iceland	Law (ISC 38)	38	85324
ISL	2002	Iceland	Mathematics and statistics (ISC 46)	5	85324
ISL	2002	Iceland	Humanities and Arts	252	85324
ISL	2002	Iceland	Engineering, manufacturing and construction	98	85324
ISL	2002	Iceland	Business and administration (ISC 34)	445	85324
ISL	2002	Iceland	Education (ISC 14)	380	85324
ISL	2002	Iceland	Journalism and information (ISC 32)	37	85324
ISL	2002	Iceland	Social and behavioural science (ISC 31)	166	85324
ISL	2003	Iceland	Environmental protection (ISC 85)	3	84755
ISL	2003	Iceland	Transport services (ISC 84)	0	84755
ISL	2003	Iceland	Computing (ISC 48)	123	84755
ISL	2003	Iceland	Health and welfare	254	84755
ISL	2003	Iceland	Agriculture	19	84755
ISL	2003	Iceland	Architecture and building (ISC 58)	31	84755
ISL	2003	Iceland	Engineering, manufacturing and construction	139	84755
ISL	2003	Iceland	Life sciences (ISC 42)	71	84755
ISL	2003	Iceland	Mathematics and statistics (ISC 46)	11	84755
ISL	2003	Iceland	Law (ISC 38)	40	84755
ISL	2003	Iceland	Social and behavioural science (ISC 31)	199	84755
ISL	2003	Iceland	Education (ISC 14)	567	84755
ISL	2003	Iceland	Engineering and engineering trades (ISC 52)	98	84755
ISL	2003	Iceland	Business and administration (ISC 34)	423	84755
ISL	2003	Iceland	Journalism and information (ISC 32)	34	84755
ISL	2003	Iceland	Humanities and Arts	254	84755
ISL	2004	Iceland	Transport services (ISC 84)	0	84613
ISL	2004	Iceland	Architecture and building (ISC 58)	48	84613
ISL	2004	Iceland	Agriculture	21	84613
ISL	2004	Iceland	Environmental protection (ISC 85)	4	84613
ISL	2004	Iceland	Health and welfare	278	84613
ISL	2004	Iceland	Life sciences (ISC 42)	82	84613
ISL	2004	Iceland	Business and administration (ISC 34)	592	84613
ISL	2004	Iceland	Computing (ISC 48)	150	84613
ISL	2004	Iceland	Mathematics and statistics (ISC 46)	15	84613
ISL	2004	Iceland	Law (ISC 38)	60	84613
ISL	2004	Iceland	Engineering and engineering trades (ISC 52)	94	84613
ISL	2004	Iceland	Engineering, manufacturing and construction	145	84613
ISL	2004	Iceland	Humanities and Arts	291	84613
ISL	2004	Iceland	Journalism and information (ISC 32)	27	84613
ISL	2004	Iceland	Social and behavioural science (ISC 31)	223	84613
ISL	2004	Iceland	Education (ISC 14)	637	84613
ISL	2005	Iceland	Environmental protection (ISC 85)	3	84644
ISL	2005	Iceland	Health and welfare	326	84644
ISL	2005	Iceland	Agriculture	20	84644
ISL	2005	Iceland	Transport services (ISC 84)	0	84644
ISL	2005	Iceland	Law (ISC 38)	139	84644
ISL	2005	Iceland	Architecture and building (ISC 58)	59	84644
ISL	2005	Iceland	Computing (ISC 48)	94	84644
ISL	2005	Iceland	Life sciences (ISC 42)	92	84644
ISL	2005	Iceland	Engineering, manufacturing and construction	168	84644
ISL	2005	Iceland	Mathematics and statistics (ISC 46)	2	84644
ISL	2005	Iceland	Business and administration (ISC 34)	528	84644
ISL	2005	Iceland	Engineering and engineering trades (ISC 52)	104	84644
ISL	2005	Iceland	Social and behavioural science (ISC 31)	248	84644
ISL	2005	Iceland	Education (ISC 14)	715	84644
ISL	2005	Iceland	Journalism and information (ISC 32)	32	84644
ISL	2005	Iceland	Humanities and Arts	308	84644
ISL	2006	Iceland	Health and welfare	398	87509
ISL	2006	Iceland	Engineering and engineering trades (ISC 52)	120	87509
ISL	2006	Iceland	Architecture and building (ISC 58)	99	87509
ISL	2006	Iceland	Environmental protection (ISC 85)	5	87509
ISL	2006	Iceland	Life sciences (ISC 42)	95	87509
ISL	2006	Iceland	Engineering, manufacturing and construction	219	87509
ISL	2006	Iceland	Business and administration (ISC 34)	596	87509
ISL	2006	Iceland	Computing (ISC 48)	91	87509
ISL	2006	Iceland	Transport services (ISC 84)	0	87509
ISL	2006	Iceland	Law (ISC 38)	222	87509
ISL	2006	Iceland	Agriculture	25	87509
ISL	2006	Iceland	Social and behavioural science (ISC 31)	293	87509
ISL	2006	Iceland	Mathematics and statistics (ISC 46)	1	87509
ISL	2006	Iceland	Journalism and information (ISC 32)	39	87509
ISL	2006	Iceland	Humanities and Arts	342	87509
ISL	2006	Iceland	Education (ISC 14)	793	87509
ISL	2007	Iceland	Engineering and engineering trades (ISC 52)	135	89975
ISL	2007	Iceland	Computing (ISC 48)	71	89975
ISL	2007	Iceland	Architecture and building (ISC 58)	72	89975
ISL	2007	Iceland	Mathematics and statistics (ISC 46)	20	89975
ISL	2007	Iceland	Engineering, manufacturing and construction	212	89975
ISL	2007	Iceland	Life sciences (ISC 42)	79	89975
ISL	2007	Iceland	Environmental protection (ISC 85)	1	89975
ISL	2007	Iceland	Law (ISC 38)	308	89975
ISL	2007	Iceland	Transport services (ISC 84)	0	89975
ISL	2007	Iceland	Agriculture	27	89975
ISL	2007	Iceland	Humanities and Arts	354	89975
ISL	2007	Iceland	Health and welfare	452	89975
ISL	2007	Iceland	Journalism and information (ISC 32)	43	89975
ISL	2007	Iceland	Social and behavioural science (ISC 31)	364	89975
ISL	2007	Iceland	Business and administration (ISC 34)	656	89975
ISL	2007	Iceland	Education (ISC 14)	753	89975
ISL	2008	Iceland	Engineering and engineering trades (ISC 52)	172	94147
ISL	2008	Iceland	Business and administration (ISC 34)	599	94147
ISL	2008	Iceland	Computing (ISC 48)	73	94147
ISL	2008	Iceland	Life sciences (ISC 42)	79	94147
ISL	2008	Iceland	Architecture and building (ISC 58)	75	94147
ISL	2008	Iceland	Mathematics and statistics (ISC 46)	20	94147
ISL	2008	Iceland	Law (ISC 38)	299	94147
ISL	2008	Iceland	Engineering, manufacturing and construction	254	94147
ISL	2008	Iceland	Environmental protection (ISC 85)	4	94147
ISL	2008	Iceland	Health and welfare	498	94147
ISL	2008	Iceland	Agriculture	14	94147
ISL	2008	Iceland	Transport services (ISC 84)	0	94147
ISL	2008	Iceland	Journalism and information (ISC 32)	28	94147
ISL	2008	Iceland	Social and behavioural science (ISC 31)	412	94147
ISL	2008	Iceland	Education (ISC 14)	705	94147
ISL	2008	Iceland	Humanities and Arts	345	94147
ISL	2009	Iceland	Computing (ISC 48)	76	92793
ISL	2009	Iceland	Business and administration (ISC 34)	629	92793
ISL	2009	Iceland	Engineering, manufacturing and construction	278	92793
ISL	2009	Iceland	Mathematics and statistics (ISC 46)	9	92793
ISL	2009	Iceland	Architecture and building (ISC 58)	67	92793
ISL	2009	Iceland	Law (ISC 38)	311	92793
ISL	2009	Iceland	Life sciences (ISC 42)	71	92793
ISL	2009	Iceland	Social and behavioural science (ISC 31)	382	92793
ISL	2009	Iceland	Environmental protection (ISC 85)	6	92793
ISL	2009	Iceland	Health and welfare	418	92793
ISL	2009	Iceland	Transport services (ISC 84)	0	92793
ISL	2009	Iceland	Engineering and engineering trades (ISC 52)	204	92793
ISL	2009	Iceland	Education (ISC 14)	671	92793
ISL	2009	Iceland	Journalism and information (ISC 32)	42	92793
ISL	2009	Iceland	Agriculture	15	92793
ISL	2009	Iceland	Humanities and Arts	349	92793
ISL	2010	Iceland	Humanities and Arts	391	91163
ISL	2010	Iceland	Engineering and engineering trades (ISC 52)	268	91163
ISL	2010	Iceland	Business and administration (ISC 34)	720	91163
ISL	2010	Iceland	Mathematics and statistics (ISC 46)	26	91163
ISL	2010	Iceland	Computing (ISC 48)	69	91163
ISL	2010	Iceland	Education (ISC 14)	786	91163
ISL	2010	Iceland	Social and behavioural science (ISC 31)	402	91163
ISL	2010	Iceland	Health and welfare	621	91163
ISL	2010	Iceland	Law (ISC 38)	346	91163
ISL	2010	Iceland	Life sciences (ISC 42)	113	91163
ISL	2010	Iceland	Engineering, manufacturing and construction	372	91163
ISL	2010	Iceland	Journalism and information (ISC 32)	42	91163
ISL	2010	Iceland	Agriculture	19	91163
ISL	2010	Iceland	Transport services (ISC 84)	0	91163
ISL	2010	Iceland	Environmental protection (ISC 85)	3	91163
ISL	2010	Iceland	Architecture and building (ISC 58)	90	91163
ITA	1998	Italy	Education (ISC 14)	4302	17397991
ITA	1998	Italy	Engineering, manufacturing and construction	25070	17397991
ITA	1998	Italy	Humanities and Arts	22140	17397991
ITA	1998	Italy	Engineering and engineering trades (ISC 52)	15912	17397991
ITA	1998	Italy	Architecture and building (ISC 58)	7964	17397991
ITA	1998	Italy	Journalism and information (ISC 32)	930	17397991
ITA	1998	Italy	Agriculture	3554	17397991
ITA	1998	Italy	Business and administration (ISC 34)	23171	17397991
ITA	1998	Italy	Health and welfare	32085	17397991
ITA	1998	Italy	Transport services (ISC 84)	157	17397991
ITA	1998	Italy	Life sciences (ISC 42)	9306	17397991
ITA	1998	Italy	Environmental protection (ISC 85)	207	17397991
ITA	1998	Italy	Mathematics and statistics (ISC 46)	3771	17397991
ITA	1998	Italy	Social and behavioural science (ISC 31)	13217	17397991
ITA	1998	Italy	Computing (ISC 48)	1881	17397991
ITA	1998	Italy	Law (ISC 38)	21357	17397991
ITA	1999	Italy	Computing (ISC 48)	1856	17274629
ITA	1999	Italy	Humanities and Arts	26956	17274629
ITA	1999	Italy	Mathematics and statistics (ISC 46)	5040	17274629
ITA	1999	Italy	Journalism and information (ISC 32)	1295	17274629
ITA	1999	Italy	Architecture and building (ISC 58)	8634	17274629
ITA	1999	Italy	Business and administration (ISC 34)	26212	17274629
ITA	1999	Italy	Social and behavioural science (ISC 31)	14857	17274629
ITA	1999	Italy	Law (ISC 38)	21855	17274629
ITA	1999	Italy	Life sciences (ISC 42)	5561	17274629
ITA	1999	Italy	Transport services (ISC 84)	131	17274629
ITA	1999	Italy	Engineering, manufacturing and construction	27816	17274629
ITA	1999	Italy	Education (ISC 14)	8852	17274629
ITA	1999	Italy	Engineering and engineering trades (ISC 52)	18497	17274629
ITA	1999	Italy	Health and welfare	27090	17274629
ITA	1999	Italy	Agriculture	3398	17274629
ITA	1999	Italy	Environmental protection (ISC 85)	287	17274629
ITA	2000	Italy	Transport services (ISC 84)	170	17104878
ITA	2000	Italy	Computing (ISC 48)	1704	17104878
ITA	2000	Italy	Architecture and building (ISC 58)	9476	17104878
ITA	2000	Italy	Engineering, manufacturing and construction	29689	17104878
ITA	2000	Italy	Education (ISC 14)	8016	17104878
ITA	2000	Italy	Journalism and information (ISC 32)	1496	17104878
ITA	2000	Italy	Life sciences (ISC 42)	5612	17104878
ITA	2000	Italy	Humanities and Arts	26389	17104878
ITA	2000	Italy	Agriculture	3855	17104878
ITA	2000	Italy	Environmental protection (ISC 85)	372	17104878
ITA	2000	Italy	Engineering and engineering trades (ISC 52)	19606	17104878
ITA	2000	Italy	Health and welfare	32229	17104878
ITA	2000	Italy	Business and administration (ISC 34)	28532	17104878
ITA	2000	Italy	Social and behavioural science (ISC 31)	16028	17104878
ITA	2000	Italy	Law (ISC 38)	23362	17104878
ITA	2000	Italy	Mathematics and statistics (ISC 46)	5162	17104878
ITA	2001	Italy	Life sciences (ISC 42)	6684	16911184
ITA	2001	Italy	Humanities and Arts	25268	16911184
ITA	2001	Italy	Education (ISC 14)	8183	16911184
ITA	2001	Italy	Journalism and information (ISC 32)	1756	16911184
ITA	2001	Italy	Health and welfare	35536	16911184
ITA	2001	Italy	Business and administration (ISC 34)	30209	16911184
ITA	2001	Italy	Mathematics and statistics (ISC 46)	4049	16911184
ITA	2001	Italy	Environmental protection (ISC 85)	509	16911184
ITA	2001	Italy	Computing (ISC 48)	1626	16911184
ITA	2001	Italy	Architecture and building (ISC 58)	9288	16911184
ITA	2001	Italy	Engineering, manufacturing and construction	31013	16911184
ITA	2001	Italy	Social and behavioural science (ISC 31)	17107	16911184
ITA	2001	Italy	Engineering and engineering trades (ISC 52)	20967	16911184
ITA	2001	Italy	Transport services (ISC 84)	208	16911184
ITA	2001	Italy	Agriculture	3935	16911184
ITA	2001	Italy	Law (ISC 38)	25163	16911184
ITA	2002	Italy	Education (ISC 14)	15653	16743462
ITA	2002	Italy	Law (ISC 38)	27358	16743462
ITA	2002	Italy	Journalism and information (ISC 32)	1874	16743462
ITA	2002	Italy	Life sciences (ISC 42)	6987	16743462
ITA	2002	Italy	Transport services (ISC 84)	22	16743462
ITA	2002	Italy	Mathematics and statistics (ISC 46)	4299	16743462
ITA	2002	Italy	Environmental protection (ISC 85)	7703	16743462
ITA	2002	Italy	Computing (ISC 48)	1519	16743462
ITA	2002	Italy	Humanities and Arts	27812	16743462
ITA	2002	Italy	Engineering, manufacturing and construction	32144	16743462
ITA	2002	Italy	Social and behavioural science (ISC 31)	18349	16743462
ITA	2002	Italy	Engineering and engineering trades (ISC 52)	16992	16743462
ITA	2002	Italy	Architecture and building (ISC 58)	14005	16743462
